metric_category,name,year,metric_name,value,units,additional_notes,,,,,,,
Social,Abbott,2024,Total Employees,114000,Count,Global [cite: 2982],,,,,,,
Social,Abbott,2023,Total Employees,114000,Count,Global [cite: 2982],,,,,,,
Social,Abbott,2024,% Management Women (U.S.),44,Percent,U.S. Only [cite: 2982],,,,,,,
Social,Abbott,2023,% Management Women (U.S.),44,Percent,U.S. Only [cite: 2982],,,,,,,
Social,Abbott,2024,% Management Minorities (U.S.),35,Percent,U.S. Only [cite: 2982],,,,,,,
Social,Abbott,2023,% Management Minorities (U.S.),35,Percent,U.S. Only [cite: 2982],,,,,,,
Social,Abbott,2024,Supplier Diversity Spend (Total),3826,USD Millions,Small and Diverse Suppliers [cite: 2982],,,,,,,
Social,Abbott,2023,Supplier Diversity Spend (Total),4016,USD Millions,Small and Diverse Suppliers [cite: 2982],,,,,,,
Social,Abbott,2024,Lost-Time Case Rate,0.18,Cases per 100 Workers,Employee and Contractor [cite: 2985],,,,,,,
Social,Abbott,2023,Lost-Time Case Rate,0.15,Cases per 100 Workers,Employee and Contractor [cite: 2985],,,,,,,
Social,Abbott,2024,Recordable Injury or Illness Rate,0.31,Cases per 100 Workers,Employee and Contractor [cite: 2985],,,,,,,
Social,Abbott,2023,Recordable Injury or Illness Rate,0.29,Cases per 100 Workers,Employee and Contractor [cite: 2985],,,,,,,
Social,Abbott,2024,Global Vehicle Accident Rate,2.91,Accidents per Million Miles,Field-Based Employees Only [cite: 2985],,,,,,,
Social,Abbott,2023,Global Vehicle Accident Rate,2.86,Accidents per Million Miles,Field-Based Employees Only [cite: 2985],,,,,,,
Social,Abbott,2024,Occupational Illness Frequency Rate,0.18,Illnesses per Million Hours,Employee and Contractor [cite: 2985],,,,,,,
Social,Abbott,2023,Occupational Illness Frequency Rate,0.18,Illnesses per Million Hours,Employee and Contractor [cite: 2985],,,,,,,
Environment,Abbott,2024,Scope 1 & 2 Carbon Emissions (Market-Based),894,1000 Metric Tons CO2e,Market-Based [cite: 2988],,,,,,,
Environment,Abbott,2023,Scope 1 & 2 Carbon Emissions (Market-Based),904,1000 Metric Tons CO2e,Market-Based [cite: 2988],,,,,,,
Environment,Abbott,2024,Scope 1 (Direct) Emissions,502,1000 Metric Tons CO2e,Total Direct [cite: 2988],,,,,,,
Environment,Abbott,2023,Scope 1 (Direct) Emissions,504,1000 Metric Tons CO2e,Total Direct [cite: 2988],,,,,,,
Environment,Abbott,2024,Scope 2 (Purchased Energy) Emissions (Market-Based),393,1000 Metric Tons CO2e,Market-Based [cite: 2988],,,,,,,
Environment,Abbott,2023,Scope 2 (Purchased Energy) Emissions (Market-Based),400,1000 Metric Tons CO2e,Market-Based [cite: 2988],,,,,,,
Environment,Abbott,2024,Total Energy Consumption (Scope 1 & 2),13821,1000 Gigajoules,Total [cite: 3000],,,,,,,
Environment,Abbott,2023,Total Energy Consumption (Scope 1 & 2),13812,1000 Gigajoules,Total [cite: 3000],,,,,,,
Environment,Abbott,2024,Water Withdrawal (Total),13510,Megaliters,Total Intake [cite: 3006],,,,,,,
Environment,Abbott,2023,Water Withdrawal (Total),13391,Megaliters,Total Intake [cite: 3006],,,,,,,
Environment,Abbott,2024,Water Consumed in Process,2338,Megaliters,Consumed [cite: 3006],,,,,,,
Environment,Abbott,2023,Water Consumed in Process,2267,Megaliters,Consumed [cite: 3006],,,,,,,
Environment,Abbott,2024,Total Waste,69197,Metric Tons,Total Generated [cite: 3012],,,,,,,
Environment,Abbott,2023,Total Waste,70156,Metric Tons,Total Generated [cite: 3012],,,,,,,
Environment,Abbott,2024,Total Hazardous Waste,9607,Metric Tons,Hazardous [cite: 3012],,,,,,,
Environment,Abbott,2023,Total Hazardous Waste,11044,Metric Tons,Hazardous [cite: 3012],,,,,,,
Environment,Abbott,2024,Waste Diversion Rate,93.5,Percent,Diverted from Landfill [cite: 3012],,,,,,,
Environment,Abbott,2023,Waste Diversion Rate,91.4,Percent,Diverted from Landfill [cite: 3012],,,,,,,
Environment,Abbott,2024,Packaging Reduction (Cumulative),31285900,Pounds,Cumulative Reduction [cite: 3019],,,,,,,
Environment,Abbott,2023,Packaging Reduction (Cumulative),29961437,Pounds,Cumulative Reduction [cite: 3019],,,,,,,
Governance,Abbott,2024,EHS Fines (Total),18462,USD,Environmental Health and Safety ,,,,,,,
Governance,Abbott,2023,EHS Fines (Total),625,USD,Environmental Health and Safety ,,,,,,,
Governance,Abbott,2024,EHS Notices of Violation,5,Count,Notices ,,,,,,,
Governance,Abbott,2023,EHS Notices of Violation,5,Count,Notices ,,,,,,,
Governance,Abbott,2024,EHS Government Agency Inspections,560,Count,Total Inspections ,,,,,,,
Governance,Abbott,2023,EHS Government Agency Inspections,524,Count,Total Inspections,,,,,,,
NA,Abbott,2022,Total Employees,115000,Count,Global,,,,,,,
NA,Abbott,2021,Total Employees,113000,Count,Global,,,,,,,
NA,Abbott,2020,Total Employees,109000,Count,Global,,,,,,,
NA,Abbott,2019,Total Employees,107000,Count,Global,,,,,,,
NA,Abbott,2018,Total Employees,103000,Count,Global,,,,,,,
NA,Abbott,2022,% of Management Who Are Women (U.S.),43,Percent,U.S. Only,,,,,,,
NA,Abbott,2021,% of Management Who Are Women (U.S.),43,Percent,U.S. Only,,,,,,,
NA,Abbott,2020,% of Management Who Are Women (U.S.),42,Percent,U.S. Only,,,,,,,
NA,Abbott,2019,% of Management Who Are Women (U.S.),41,Percent,U.S. Only,,,,,,,
NA,Abbott,2018,% of Management Who Are Women (U.S.),40,Percent,U.S. Only,,,,,,,
NA,Abbott,2022,% of Management Who Are Minorities (U.S.),35,Percent,U.S. Only,,,,,,,
NA,Abbott,2021,% of Management Who Are Minorities (U.S.),33,Percent,U.S. Only,,,,,,,
NA,Abbott,2020,% of Management Who Are Minorities (U.S.),32,Percent,U.S. Only,,,,,,,
NA,Abbott,2019,% of Management Who Are Minorities (U.S.),36,Percent,U.S. Only,,,,,,,
NA,Abbott,2018,% of Management Who Are Minorities (U.S.),34,Percent,U.S. Only,,,,,,,
NA,Abbott,2022,Supplier Diversity Spend (Total),4413,USD Millions,Small and Diverse Suppliers,,,,,,,
NA,Abbott,2021,Supplier Diversity Spend (Total),3211,USD Millions,Small and Diverse Suppliers,,,,,,,
NA,Abbott,2020,Supplier Diversity Spend (Total),2343,USD Millions,Small and Diverse Suppliers,,,,,,,
NA,Abbott,2022,Lost-Time Case Rate,0.12,Cases per 100 Workers,Employee and Contractor,,,,,,,
NA,Abbott,2021,Lost-Time Case Rate,0.13,Cases per 100 Workers,Employee and Contractor,,,,,,,
NA,Abbott,2020,Lost-Time Case Rate,0.13,Cases per 100 Workers,Employee and Contractor,,,,,,,
NA,Abbott,2019,Lost-Time Case Rate,0.13,Cases per 100 Workers,Employee and Contractor,,,,,,,
NA,Abbott,2018,Lost-Time Case Rate,0.13,Cases per 100 Workers,Employee and Contractor,,,,,,,
NA,Abbott,2022,Recordable Injury or Illness Rate,0.25,Cases per 100 Workers,Employee and Contractor,,,,,,,
