company,industry,csa_score,esg_score,score_under_review,last_updated,search_term,url,scraped_at
Abbott Laboratories,MTC Health Care Equipment & Supplies,61,62,NO,"November 11, 2025",Abbott Laboratories,https://www.spglobal.com/sustainable1/en/scores/results?cid=4004092,2025-12-04T19:00:56.158517
Accenture plc,TSV IT services,48,54,NO,"September 26, 2024",Accenture,https://www.spglobal.com/sustainable1/en/scores/results?cid=4142760,2025-12-04T19:01:08.139679
"ACS, Actividades de Construcción y Servicios, S.A.",CON Construction & Engineering,78,78,NO,"November 06, 2025",ACS,https://www.spglobal.com/sustainable1/en/scores/results?cid=4494388,2025-12-04T19:01:19.093444
Aeon Co. (M) Bhd.,FDR Food & Staples Retailing,,,,,AEON,https://www.spglobal.com/sustainable1/en/scores/results?cid=4629027,2025-12-04T19:01:35.116989
L'Air Liquide S.A.,CHM Chemicals,52,53,NO,"September 18, 2025",Air Liquide,https://www.spglobal.com/sustainable1/en/scores/results?cid=4203992,2025-12-04T19:01:51.321979
Airbus SE,ARO Aerospace & Defense,68,68,NO,"September 25, 2025",Airbus,https://www.spglobal.com/sustainable1/en/scores/results?cid=4431893,2025-12-04T19:02:02.790998
"Albertsons Companies, Inc.",FDR Food & Staples Retailing,26,35,NO,"February 18, 2025",Albertsons,https://www.spglobal.com/sustainable1/en/scores/results?cid=5309457,2025-12-04T19:02:14.514665
Alibaba Group Holding Limited,RTS Retailing,51,52,NO,"December 01, 2025",Alibaba Group Holding,https://www.spglobal.com/sustainable1/en/scores/results?cid=4279124,2025-12-04T19:02:25.872824
The Allstate Corporation,INS Insurance,52,53,NO,"June 04, 2025",Allstate,https://www.spglobal.com/sustainable1/en/scores/results?cid=103247,2025-12-04T19:02:38.094501
Alphabet Inc.,"IMS Interactive Media, Services & Home Entertainment",36,39,NO,"December 01, 2025",Alphabet,https://www.spglobal.com/sustainable1/en/scores/results?cid=4633618,2025-12-04T19:02:49.899289
"Amazon.com, Inc.",RTS Retailing,22,26,NO,"November 10, 2025",Amazon,https://www.spglobal.com/sustainable1/en/scores/results?cid=3001792,2025-12-04T19:03:07.850437
"American International Group, Inc.",INS Insurance,38,40,NO,"September 24, 2025",American International Group,https://www.spglobal.com/sustainable1/en/scores/results?cid=103330,2025-12-04T19:04:11.026892
Anglo American plc,MNX Metals & Mining,71,71,NO,"September 18, 2025",Anglo American,https://www.spglobal.com/sustainable1/en/scores/results?cid=4193273,2025-12-04T19:04:22.081640
"Apple Hospitality REIT, Inc.",REI Equity Real Estate Investment Trusts (REITs),25,30,NO,"August 16, 2024",Apple,https://www.spglobal.com/sustainable1/en/scores/results?cid=4187996,2025-12-04T19:04:53.601473
"Arrow Electronics, Inc.","ITC Electronic Equipment, Instruments & Components",31,38,NO,"July 18, 2025",Arrow Electronics,https://www.spglobal.com/sustainable1/en/scores/results?cid=4066994,2025-12-04T19:05:17.846108
AXA SA,INS Insurance,86,86,NO,"November 26, 2025",AXA,https://www.spglobal.com/sustainable1/en/scores/results?cid=4009223,2025-12-04T19:05:35.851830
Banco Bilbao Vizcaya Argentaria Colombia S.A.,BNK Banks,66,66,NO,"September 16, 2025",Banco Bilbao Vizcaya Argentaria,https://www.spglobal.com/sustainable1/en/scores/results?cid=4271698,2025-12-04T19:05:52.115263
Banco Bradesco S.A.,BNK Banks,80,80,NO,"October 01, 2025",Banco Bradesco,https://www.spglobal.com/sustainable1/en/scores/results?cid=4135294,2025-12-04T19:06:08.927463
Banco do Brasil S.A.,BNK Banks,90,90,NO,"November 06, 2025",Banco do Brasil,https://www.spglobal.com/sustainable1/en/scores/results?cid=4044461,2025-12-04T19:06:19.909209
Banco Santander (Brasil) S.A.,BNK Banks,54,56,NO,"October 17, 2024",Banco Santander,https://www.spglobal.com/sustainable1/en/scores/results?cid=4236737,2025-12-04T19:06:31.286156
Bank of America Corporation,BNK Banks,57,58,NO,"March 27, 2025",Bank of America,https://www.spglobal.com/sustainable1/en/scores/results?cid=100369,2025-12-04T19:06:47.049083
Bank of China Limited,BNK Banks,30,33,NO,"July 18, 2025",Bank of China,https://www.spglobal.com/sustainable1/en/scores/results?cid=4055265,2025-12-04T19:06:57.935302
Barclays PLC,BNK Banks,57,58,NO,"November 18, 2025",Barclays,https://www.spglobal.com/sustainable1/en/scores/results?cid=114508,2025-12-04T19:08:18.859564
BASF India Limited,CHM Chemicals,,,,,BASF,https://www.spglobal.com/sustainable1/en/scores/results?cid=4987052,2025-12-04T19:08:29.842948
