ticker,company_name,industry,environment_grade,social_grade,governance_grade,environment_level,social_level,governance_level,environment_score,social_score,governance_score,year,total_grade,total_level
ECL,Ecolab Inc,Chemicals,A,BB,BB,high,medium,medium,54.7,37.3,32.5,2022,A,high
PSA,Public Storage,Real Estate,B,B,B,medium,medium,medium,23.5,24.5,20.5,2022,B,medium
CMI,Cummins Inc,Machinery,A,BB,BB,high,medium,medium,51.0,32.0,30.0,2022,BBB,high
FLT,Fleetcor Technologies Inc,Technology,BBB,BB,BB,high,medium,medium,41.0,30.2,30.0,2022,BBB,high
PRCH,Porch Group Inc,Retail,B,B,B,medium,medium,medium,22.5,22.7,21.5,2022,B,medium
ACAD,ACADIA Pharmaceuticals Inc,Biotechnology,B,B,BB,medium,medium,medium,23.0,23.0,30.5,2022,BB,medium
AFCG,AFC Gamma Inc,Real Estate,B,B,B,medium,medium,medium,25.5,20.4,22.6,2022,B,medium
ALGM,Allegro Microsystems Inc,Semiconductors,A,BB,B,high,medium,medium,54.2,31.4,25.0,2022,BBB,high
VRTX,Vertex Pharmaceuticals Inc,Biotechnology,A,BB,BB,high,medium,medium,50.0,30.0,30.0,2022,BBB,high
SPR,Spirit AeroSystems Holdings Inc,Aerospace and Defense,A,BB,BB,high,medium,medium,51.5,33.7,30.0,2022,BBB,high
AEMD,Aethlon Medical Inc,Health Care,B,B,BB,medium,medium,medium,20.0,26.2,31.5,2022,BB,medium
ETR,Entergy Corp,Utilities,AA,BB,BB,excellent,medium,medium,65.3,38.0,31.0,2022,A,high
TXN,Texas Instruments Inc,Semiconductors,A,BB,BB,high,medium,medium,50.0,30.0,30.0,2022,BBB,high
LMT,Lockheed Martin Corp,Aerospace and Defense,A,BB,BB,high,medium,medium,51.0,32.4,32.0,2022,BBB,high
GWRS,Global Water Resources Inc,Utilities,BB,B,B,medium,medium,medium,36.7,29.7,23.5,2022,BB,medium
PNRG,Primeenergy Resources Corp,Energy,B,B,B,medium,medium,medium,20.0,20.0,26.0,2022,B,medium
HEP,Holly Energy Partners LP,Energy,A,B,B,high,medium,medium,51.1,22.5,21.5,2022,BBB,high
ACOR,Acorda Therapeutics Inc,Biotechnology,B,BB,BB,medium,medium,medium,23.0,30.7,31.0,2022,BB,medium
RL,Ralph Lauren Corp,Textiles Apparel and Luxury Goods,BBB,BB,BB,high,medium,medium,42.0,35.2,30.3,2022,BBB,high
