ticker,company_name,year,esg_score,environment_score,social_score,governance_score,industry,scope_1,scope_2,co2_emissions,energy_use,water_use,water_recycle,injury_rate,women_employees_rate,human_right,turnover_rate,board_size,bribery,strike,recycling_initiatives
AAL,American Airlines Group Inc,2018,71.6330221889981,60.6837354728334,72.0457414297103,83.0696231390639,airlines,969.383687907927,9.11763240496238,3.9279E7,5.62E8,1767786.47,NaN,41.942,42.452,1.0,5.613,13.0,1.0,0.0,0.0
BA,Boeing Co,2019,77.7170174126221,74.9048174048174,79.6271768142054,77.1899702295328,aerospace & defense,11.8717089516515,9.48885697569278,2008000.0,NaN,NaN,NaN,-1.0,-1.0,1.0,-1.0,13.0,1.0,1.0,1.0
BA,Boeing Co,2017,69.4911847083903,78.2483930211203,57.8790118329221,78.8101773991344,aerospace & defense,7.40932642487047,11.2262521588946,1791140.0,NaN,6435200.0,NaN,-1.0,-1.0,1.0,-1.0,13.0,1.0,0.0,1.0
AME,AMETEK Inc,2013,25.6644714510956,15.5550604080015,33.6850535667343,27.2798903734155,electrical equipment,NaN,NaN,NaN,NaN,NaN,NaN,-1.0,-1.0,0.0,-1.0,7.0,1.0,0.0,0.0
AAL,American Airlines Group Inc,2015,51.7939064055515,62.8321256038647,54.3094313196976,35.9484536082474,airlines,1581.7223198594,NaN,4.23E7,NaN,NaN,56781.15,-1.0,41.0,0.0,-1.0,12.0,1.0,0.0,0.0
BA,Boeing Co,2020,79.9387906558899,74.4934122064804,89.3883737496191,71.1226333250687,aerospace & defense,10.9268543514591,8.61293225350302,1976000.0,NaN,NaN,NaN,-1.0,-1.0,1.0,-1.0,13.0,1.0,0.0,1.0
AME,AMETEK Inc,2020,46.5743169357756,31.6667186218391,50.9293626328754,58.7534861096353,electrical equipment,NaN,NaN,NaN,NaN,NaN,NaN,-1.0,-1.0,0.0,-1.0,9.0,1.0,0.0,0.0
ALLE,Allegion PLC,2021,73.4037521550928,68.2678765371545,83.3829037232871,66.4458095655989,building products,NaN,NaN,100618.0,408600.0,394439.722,NaN,1.95,36.0,1.0,-1.0,8.0,1.0,0.0,0.0
ALLE,Allegion PLC,2020,59.5252119242063,41.1070135167732,62.2743592841454,67.2435897435897,building products,NaN,NaN,NaN,NaN,NaN,NaN,-1.0,-1.0,1.0,-1.0,7.0,1.0,0.0,0.0
BA,Boeing Co,2018,80.2568033270239,81.9387755102041,80.7719900434409,78.3249928437713,aerospace & defense,7.87824880208779,12.6529477196885,1919584.75,NaN,NaN,NaN,-1.0,-1.0,1.0,-1.0,13.0,1.0,0.0,1.0
