company_name,wba_id,isin,total_score,governance_strategy_score,ecosystems_biodiversity_score,social_community_score,total_rank,governance_strategy_rank,ecosystems_biodiversity_rank,social_community_rank,hq_region,hq_country,sector,industry,year_benchmarked
Shiseido Company,PT_01593,NaN,36.6,35.0,33.2,42.5,34,201,20,57,East Asia & Pacific,Japan,Personal and household products,Personal and household products,2024
Kao Corporation,PT_00991,JP3205800000,38.6,51.3,34.2,40.5,25,29,18,65,East Asia & Pacific,Japan,Personal and household products,Personal and household products,2024
Wilmar International,PT_01940,SG1T56930848,41.6,50.0,27.0,61.1,16,40,58,5,East Asia & Pacific,Singapore,Food and agriculture,Agricultural products,2023
L'Oreal,PT_01093,NaN,39.9,47.5,29.9,52.5,19,52,34,23,Europe & Central Asia,France,Personal and household products,Personal and household products,2024
Diageo,PT_00552,GB0002374006,40.1,45.0,26.9,58.8,18,71,61,9,Europe & Central Asia,United Kingdom,Food and agriculture,Food production,2023
Kering,PT_00999,FR0000121485,55.4,80.0,47.6,57.8,1,1,1,12,Europe & Central Asia,France,Apparel and footwear,Apparel and footwear,2022
DSM,PT_00581,NaN,31.0,35.0,27.0,35.5,67,201,58,92,Europe & Central Asia,Netherlands,Food and agriculture,Agricultural products,2023
Danone,PT_00523,FR0000120644,46.3,47.5,38.5,58.1,5,52,7,11,Europe & Central Asia,France,Food and agriculture,Food production,2023
Sibanye Stillwater,PT_02251,CNE100000502,36.8,56.3,36.8,28.9,32,20,8,151,Sub-Saharan Africa,South Africa,Metals and mining,Metals and mining,2022
Nueva Pescanova,PT_01314,NaN,32.7,56.3,28.4,28.9,57,20,48,151,Europe & Central Asia,Spain,Food and agriculture,Food production,2023
Firmenich,PT_00684,NaN,37.0,41.3,27.3,50.5,30,114,55,26,Europe & Central Asia,Switzerland,Food and agriculture,Agricultural products,2023
Siam Cement (SCG),PT_01599,NaN,31.5,56.3,30.4,23.1,64,20,30,231,East Asia & Pacific,Thailand,Construction materials and supplies,Construction materials and supplies,2022
Sacyr,PT_02196,CNE100000502,35.7,51.3,39.4,23.6,37,29,5,224,Europe & Central Asia,Spain,Construction and engineering,Construction and engineering,2022
Polyus,PT_02248,CNE100000502,34.0,43.8,36.3,26.5,48,103,11,182,Europe & Central Asia,Russian Federation,Metals and mining,Metals and mining,2022
PVH,PT_01449,US6936561009,32.8,36.3,26.5,41.3,56,192,65,59,North America,United States,Apparel and footwear,Apparel and footwear,2022
Evonik,PT_00651,NaN,33.0,41.3,26.6,39.7,53,114,64,66,Europe & Central Asia,Germany,Food and agriculture,Chemicals,2023
Bayer,PT_00223,NaN,44.9,72.8,32.2,53.6,8,4,22,21,Europe & Central Asia,Germany,Food and agriculture,Chemicals,2023
Hyundai Engineering and Construction,PT_02123,CNE100000502,32.9,50.0,28.4,33.1,55,40,48,113,East Asia & Pacific,"Korea, Rep.",Construction and engineering,Construction and engineering,2022
Merck KGaA,PT_01156,NaN,33.5,41.3,33.7,30.0,51,114,19,146,Europe & Central Asia,Germany,Pharmaceuticals and biotechnology,Pharmaceuticals and biotechnology,2022
UPM-Kymmene,PT_01859,FI0009005987,43.7,38.8,44.1,45.0,10,163,2,42,Europe & Central Asia,Finland,Paper and forest,Paper and forest,2023
Marks & Spencer,PT_01124,NaN,32.7,33.8,22.1,49.0,57,239,117,29,Europe & Central Asia,United Kingdom,Apparel and footwear,Apparel and footwear,2024
Anheuser-Busch InBev,PT_00110,BE0974293251,35.1,35.0,29.5,44.0,40,201,39,47,Europe & Central Asia,Belgium,Food and agriculture,Food production,2023
Teck Resources,PT_02207,CNE100000502,40.2,57.5,23.7,59.0,17,17,98,8,North America,Canada,Metals and mining,Metals and mining,2022
Nestlé,PT_01245,CH0038863350,54.1,75.5,39.4,68.4,2,2,5,1,Europe & Central Asia,Switzerland,Food and agriculture,Food production,2023
Carlsberg,PT_00318,NaN,33.4,40.0,24.7,44.2,52,133,81,45,Europe & Central Asia,Denmark,Food and agriculture,Food production,2023
Norsk Hydro,PT_01299,NO0005052605,45.7,35.0,36.8,64.2,6,201,8,3,Europe & Central Asia,Norway,Metals and mining,Metals and mining,2022
Charoen Pokphand Group,PT_00343,NaN,43.6,61.3,31.1,55.9,11,11,26,16,East Asia & Pacific,Thailand,Food and agriculture,Food production,2023
Vale,PT_01868,BRVALEACNOR0,43.5,62.5,28.6,59.2,12,9,46,7,Latin America & Caribbean,Brazil,Metals and mining,Metals and mining,2022
Givaudan,PT_00751,CH0010645932,44.2,51.3,30.9,62.2,9,29,29,4,Europe & Central Asia,Switzerland,Food and agriculture,Chemicals,2023
Sanofi,PT_01533,NaN,36.7,30.0,36.7,39.4,33,278,10,70,Europe & Central Asia,France,Pharmaceuticals and biotechnology,Pharmaceuticals and biotechnology,2022
POSCO,PT_01416,AU000000NUF3,32.3,40.0,27.3,37.0,59,133,55,83,East Asia & Pacific,"Korea, Rep.",Metals and mining,Metals and mining,2022
Symrise,PT_01712,NaN,31.9,33.8,25.8,40.7,62,239,66,64,Europe & Central Asia,Germany,Food and agriculture,Food production,2023
CEMEX,PT_00329,NaN,34.8,70.0,20.1,43.7,42,5,150,49,Latin America & Caribbean,Mexico,Construction materials and supplies,Construction materials and supplies,2022
Sainsbury's,PT_01519,NaN,33.8,57.5,23.1,41.0,49,17,103,61,Europe & Central Asia,United Kingdom,Food and agriculture,Food retailers,2023
Hennes & Mauritz (H&M),PT_00808,US4016171054,31.1,43.8,21.2,41.5,65,103,133,58,Europe & Central Asia,Sweden,Apparel and footwear,Apparel and footwear,2022
Novartis,PT_01304,CH0012005267,39.6,46.3,35.7,42.9,21,56,14,55,Europe & Central Asia,Switzerland,Pharmaceuticals and biotechnology,Pharmaceuticals and biotechnology,2022
Mowi,PT_01202,NO0003054108,35.7,40.0,35.1,34.8,37,133,15,100,Europe & Central Asia,Norway,Food and agriculture,Food production,2023
Unilever,PT_01841,US9024941034,52.0,65.5,40.6,64.3,3,6,4,2,Europe & Central Asia,United Kingdom,Food and agriculture,Personal and household products,2023
PepsiCo,PT_01384,AU000000NUF3,37.8,51.3,23.9,54.3,27,29,96,18,North America,United States,Food and agriculture,Food production,2023
Gildan Activewear,PT_00749,CA3759161035,35.4,41.3,26.7,46.8,39,114,62,34,North America,Canada,Apparel and footwear,Apparel and footwear,2022
OCP,PT_01325,AU000000NUF3,43.2,50.0,31.5,58.8,13,40,24,9,Middle East & North Africa,Morocco,Food and agriculture,Agricultural products,2023
Kirin,PT_01010,US4943681035,32.1,41.3,29.8,32.0,61,114,37,124,East Asia & Pacific,Japan,Food and agriculture,Food production,2023
Bridgestone,PT_00275,NaN,33.0,23.8,23.4,51.8,53,402,100,24,East Asia & Pacific,Japan,Tyres and rubber,Tyres and rubber,2022
FMC,PT_00698,US3024913036,33.6,51.3,28.5,34.6,50,29,47,102,North America,United States,Food and agriculture,Agricultural products,2023
Glencore,PT_00752,JE00B4T3BW64,34.4,53.0,19.1,50.9,43,28,175,25,Europe & Central Asia,Switzerland,Metals and mining,Metals and mining,2022
Yara,PT_01974,NO0010208051,36.9,56.3,25.8,46.6,31,20,66,37,Europe & Central Asia,Norway,Food and agriculture,Agricultural products,2023
Fast Retailing,PT_00666,NaN,39.2,51.3,34.8,41.2,23,29,17,60,East Asia & Pacific,Japan,Apparel and footwear,Apparel and footwear,2022
Industria de Diseño Textil (Inditex),PT_00899,SE0000652216,37.4,46.3,25.2,52.8,28,56,75,22,Europe & Central Asia,Spain,Apparel and footwear,Apparel and footwear,2022
The Hershey Company,PT_01780,US4278661081,35.9,41.3,21.3,56.7,36,114,129,14,North America,United States,Food and agriculture,Food production,2023
Reckitt,PT_01468,GB00B24CGK77,34.2,18.8,29.8,47.4,46,478,37,32,Europe & Central Asia,United Kingdom,Personal and household products,Personal and household products,2024
Thai Union Group,PT_01774,TH0450010Y08,39.5,61.3,30.1,45.2,22,11,32,41,East Asia & Pacific,Thailand,Food and agriculture,Food production,2023
The Coca-Cola Company,PT_00447,US4016171054,31.1,30.0,20.0,48.8,65,278,152,30,North America,United States,Food and agriculture,Food production,2023
Kerry Group,PT_01001,IE0004906560,39.8,61.3,31.2,44.7,20,11,25,44,Europe & Central Asia,Ireland,Food and agriculture,Food production,2023
Anglo American,PT_00109,GB00B1XZS820,37.3,51.3,22.3,55.2,29,29,113,17,Europe & Central Asia,United Kingdom,Metals and mining,Metals and mining,2022
Meiji,PT_01149,NaN,34.3,40.0,31.1,37.0,45,133,26,83,East Asia & Pacific,Japan,Food and agriculture,Food production,2023
ACCIONA,PT_00013,ES0125220311,42.5,73.8,25.8,56.1,14,3,66,15,Europe & Central Asia,Spain,Construction and engineering,Construction and engineering,2022
Mondi,PT_01197,GB00B1CRLC47,42.1,61.3,43.7,31.8,15,11,3,125,Europe & Central Asia,United Kingdom,Containers and packaging,Containers and packaging,2022
Stora Enso,PT_01675,FI0009005961,32.3,35.0,24.1,44.1,59,201,88,46,Europe & Central Asia,Finland,Paper and forest,Paper and forest,2023
Gap,PT_00733,US3647601083,34.1,36.3,29.3,40.8,47,192,42,63,North America,United States,Apparel and footwear,Apparel and footwear,2022
Holcim,PT_01049,NaN,38.4,42.3,30.0,50.0,26,113,33,27,Europe & Central Asia,Switzerland,Construction materials and supplies,Construction materials and supplies,2022
Suzano Papel e Celulose,PT_01702,NaN,34.9,35.0,22.7,53.9,41,201,109,20,Latin America & Caribbean,Brazil,Paper and forest,Paper and forest,2023
Heineken,PT_00831,US4016171054,34.4,42.5,22.8,49.2,43,111,107,28,Europe & Central Asia,Netherlands,Food and agriculture,Food production,2023
Rio Tinto,PT_01489,NaN,45.6,65.3,35.0,54.3,7,7,16,18,Europe & Central Asia,United Kingdom,Metals and mining,Metals and mining,2022
Newmont,PT_02127,CNE100000502,46.6,57.3,35.8,59.3,4,19,13,6,North America,United States,Metals and mining,Metals and mining,2022
Ajinomoto Group,PT_00057,JP3119600009,39.1,62.5,36.1,34.5,24,9,12,103,East Asia & Pacific,Japan,Food and agriculture,Food production,2023
Fonterra,PT_00702,NZFCGE0001S7,36.1,63.8,29.5,35.2,35,8,39,96,East Asia & Pacific,New Zealand,Food and agriculture,Food production,2023
Ahold Delhaize,PT_00047,NL0011794037,31.8,45.0,18.9,46.8,63,71,180,34,Europe & Central Asia,Netherlands,Food and agriculture,Food retailers,2023
Alcoa,PT_00064,US0138721065,30.9,35.0,24.9,38.6,68,201,79,75,North America,United States,Metals and mining,Metals and mining,2022
Gold Fields,PT_02208,CNE100000502,28.8,35.0,16.3,45.8,95,201,238,39,Sub-Saharan Africa,South Africa,Metals and mining,Metals and mining,2022
Newcrest Mining,PT_02246,CNE100000502,28.9,51.3,24.0,27.6,92,29,95,166,East Asia & Pacific,Australia,Metals and mining,Metals and mining,2022
South32,PT_01639,NaN,30.9,46.3,24.1,35.3,68,56,88,94,East Asia & Pacific,Australia,Metals and mining,Metals and mining,2022
Asahi Group,PT_00138,NaN,29.5,35.0,25.3,33.7,84,201,74,107,East Asia & Pacific,Japan,Food and agriculture,Food production,2023
Sodexo,PT_01630,NaN,25.4,46.3,15.3,32.8,136,56,260,115,Europe & Central Asia,France,Food and agriculture,Food retailers,2023
Musim Mas,PT_01215,NaN,29.5,28.8,23.2,39.7,84,310,101,66,East Asia & Pacific,Singapore,Food and agriculture,Agricultural products,2023
Owens Corning,PT_01358,AU000000NUF3,29.8,41.3,29.9,24.8,80,114,34,206,North America,United States,Construction materials and supplies,Construction materials and supplies,2022
JDE Peet's,PT_00945,IL0002810146,28.2,45.0,20.3,33.8,99,71,145,106,Europe & Central Asia,Netherlands,Food and agriculture,Food production,2023
Essity,PT_00642,SE0009922164,27.2,17.5,24.1,35.9,118,519,88,88,Europe & Central Asia,Sweden,Personal and household products,Personal and household products,2024
Walmart,PT_01905,NaN,26.5,38.8,21.2,29.7,126,163,133,147,North America,United States,Food and agriculture,Food retailers,2023
Grupo Mexico,PT_00792,MXP370841019,26.4,35.0,17.3,37.2,129,201,217,81,Latin America & Caribbean,Mexico,Metals and mining,Metals and mining,2022
Polymetal,PT_02209,CNE100000502,30.8,31.3,28.9,33.5,71,276,44,112,Europe & Central Asia,Cyprus,Metals and mining,Metals and mining,2022
